date,open,high,low,close,volume
1568707200000,10170.0000,10170.0000,10170.0000,10170.0000,0.00200000
1568721600000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568736000000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568750400000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568764800000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568779200000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568793600000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568808000000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568822400000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568836800000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568851200000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568865600000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568880000000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568894400000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568908800000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568923200000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568937600000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568952000000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568966400000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568980800000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1568995200000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569009600000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569024000000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569038400000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569052800000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569067200000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569081600000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569096000000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569110400000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569124800000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569139200000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569153600000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569168000000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569182400000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569196800000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569211200000,10170.0000,10170.0000,10170.0000,10170.0000,0.01000000
1569225600000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569240000000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569254400000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569268800000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569283200000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569297600000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569312000000,10170.0000,10170.0000,10170.0000,10170.0000,0.00000000
1569326400000,9676.9800,9676.9800,9418.7400,9508.5200,15.36510900
1569340800000,9510.3500,9570.1300,7895.0200,8397.5200,46.10854100
1569355200000,8306.5200,8783.9000,8130.2400,8570.8600,19.71945100
1569369600000,8548.7000,8723.6400,8548.7000,8581.1900,4.59832900
1569384000000,8596.4800,8596.4800,8349.4500,8349.4500,1.88762700
1569398400000,8332.5700,8487.7700,8268.5900,8348.3400,1.51881000
1569412800000,8317.6300,8431.1300,8268.6100,8309.3400,4.65163700
1569427200000,8309.3400,8399.7900,8291.7800,8340.8000,7.64192200
1569441600000,8340.8000,8631.9800,8340.8000,8439.0200,9.89765300
1569456000000,8408.9200,8444.1900,8328.1100,8378.0800,6.15007400
1569470400000,8354.5400,8426.6200,8343.6800,8376.1000,6.17013300
1569484800000,8373.4800,8452.4500,8373.4800,8405.1300,3.80090200
1569499200000,8399.5200,8433.8600,7863.7600,7922.9000,8.01544800
1569513600000,7903.7900,8130.1900,7746.8300,8105.3600,8.94167500
1569528000000,8120.6000,8156.0800,8020.8300,8059.8600,8.89946200
1569542400000,8095.7800,8095.7800,7950.2700,8018.9800,5.89155200
1569556800000,8029.3000,8072.1700,7970.1000,8072.1700,5.21138000
1569571200000,8059.5900,8109.6400,7956.2700,7988.7300,9.44749100
1569585600000,7984.4700,8078.5200,7870.1000,7969.3700,3.61903900
1569600000000,7969.3700,8063.2800,7969.3700,8018.3800,4.99124200
1569614400000,8018.3800,8273.2400,8008.0100,8189.2000,7.10335300
1569628800000,8215.7500,8219.6300,8140.0100,8176.4700,4.30259200
1569643200000,8181.1700,8231.2100,8161.9400,8231.2100,1.77549800
1569657600000,8214.1300,8251.7300,8147.0200,8148.0600,1.31914600
1569672000000,8121.3100,8142.9600,8033.4800,8080.2200,2.50282400
1569686400000,8120.6400,8174.5300,8108.9800,8134.0700,2.02938400
1569700800000,8181.4200,8346.3900,8082.4500,8205.1500,15.50729900
1569715200000,8205.7100,8215.0500,8153.4300,8158.6900,4.25895800
1569729600000,8146.1700,8148.6900,8067.9900,8099.6600,2.75873700
1569744000000,8110.7500,8127.8800,8058.6700,8090.0300,5.88056100
1569758400000,8068.5500,8081.2900,7921.9900,7971.9400,11.22461700
1569772800000,7972.5200,8038.1900,7931.0300,7962.7500,9.61852800
1569787200000,7961.5200,8119.1400,7961.5200,8053.8500,8.42502900
1569801600000,8062.7900,8062.7900,7961.9000,7985.8000,3.50202100
1569816000000,7986.0000,7986.0000,7739.3800,7816.4000,21.54238600
1569830400000,7789.1200,8090.3100,7789.1200,8049.6400,8.11078300
1569844800000,8042.6600,8313.6700,8000.0000,8287.6600,23.39606300
1569859200000,8321.3100,8331.9200,8219.6500,8275.8000,9.05670700
1569873600000,8269.7700,8308.2900,8180.7600,8302.2900,5.98645300
1569888000000,8313.2200,8500.0000,8197.0700,8422.9500,19.77522500
1569902400000,8413.3800,8476.6200,8368.5200,8425.6400,4.33880300
1569916800000,8427.6100,8429.3100,8314.6500,8370.5900,4.34724800
1569931200000,8375.3600,8434.0800,8309.4100,8388.6200,8.37921600
1569945600000,8385.4100,8516.0000,8247.5600,8313.9200,17.91887000
1569960000000,8322.5700,8415.2000,8290.6700,8315.8300,10.01884600
1569974400000,8316.4100,8345.8200,8225.5100,8270.0100,16.28949400
1569988800000,8267.4100,8277.2400,8177.3000,8222.2800,4.25910500
1570003200000,8220.7700,8300.0000,8220.7700,8280.2600,2.29815800
1570017600000,8297.1300,8311.2600,8211.1100,8243.8600,3.37457800
1570032000000,8241.3300,8278.4700,8202.7300,8258.9200,4.74625400
1570046400000,8268.3600,8386.3500,8230.4200,8382.2600,5.14500000
1570060800000,8400.0000,8405.9900,8328.7900,8346.6800,3.07132000
